tGravityAcc-mean()-X,tGravityAcc-mean()-Y,tGravityAcc-mean()-Z,tBodyGyro-mean()-X,tBodyGyro-mean()-Y,tBodyGyro-mean()-Z,Activity
0.96339614,-0.14083968,0.11537494,-0.006100849,-0.031364791,0.1077254,2
0.96656113,-0.14155127,0.10937881,-0.01611162,-0.083893777,0.10058429,2
0.9668781,-0.14200984,0.10188392,-0.031698294,-0.10233542,0.096126876,2
0.96761519,-0.14397645,0.099850143,-0.043409983,-0.091386182,0.085537699,2
0.9682244,-0.14875022,0.094485896,-0.033960416,-0.074708034,0.077392035,2
0.9679482,-0.14820997,0.091909715,-0.028775508,-0.070393108,0.079012142,2
0.9679295,-0.14428214,0.093144628,-0.028600251,-0.083046734,0.095464555,2
0.96849148,-0.14670536,0.091708159,-0.024200262,-0.07789261,0.094095607,2
0.96848115,-0.15437401,0.085118255,-0.024831025,-0.066401639,0.077862982,2
0.96841804,-0.15630201,0.08087447,-0.0234154,-0.070925683,0.078975843,2
0.96920266,-0.15236144,0.081258077,-0.024708255,-0.068884585,0.085481775,2
0.96925328,-0.15006376,0.082931213,-0.031173158,-0.074666711,0.091577535,2
0.9689963,-0.1523621,0.083150803,-0.029168611,-0.075944066,0.086183519,2
0.96904398,-0.15414125,0.081819604,-0.027087093,-0.071831343,0.083622237,2
0.94489486,-0.29262334,-0.021435523,-0.010548201,0.15705425,-0.17452147,2
0.95201342,-0.26311695,-0.003576164,-0.015810859,0.027702205,-0.02694145,2
0.95272437,-0.26509148,-0.007708992,-0.013406816,-0.046264419,0.060933625,2
0.95306401,-0.26471825,-0.011556695,-0.012725097,-0.077761376,0.094503668,2
0.95360569,-0.26305774,-0.011094388,-0.02464236,-0.087790863,0.10782187,2
0.95359464,-0.26348997,-0.011425851,-0.029461913,-0.084376762,0.10074789,2
0.95313551,-0.2634369,-0.012458678,-0.029814933,-0.078706495,0.093773469,2
0.95318325,-0.26189643,-0.012015606,-0.02917889,-0.07955402,0.094585279,2
0.95309294,-0.26245862,-0.011512171,-0.028153699,-0.076118947,0.088998758,2
0.95273161,-0.26500697,-0.012703514,-0.027220935,-0.069195151,0.079055228,2
0.9532188,-0.2650432,-0.013126421,-0.024960701,-0.071607144,0.080856127,2
0.95419361,-0.26194319,-0.011180786,-0.027372739,-0.0753043,0.088552726,2
0.95458893,-0.26049928,-0.009959401,-0.030529617,-0.074705186,0.089415593,2
0.87409866,0.042479149,0.33309449,-0.046489666,-0.28289794,0.22948437,1
0.83566368,0.16067501,0.39982173,-0.04840838,-0.23917386,0.24705037,1
0.83695957,0.15187734,0.38646765,-0.039411936,-0.16674787,0.18301929,1
0.83878762,0.15070183,0.38345181,-0.037731641,0.021333829,0.076579313,1
0.81080506,0.19559534,0.38713197,-0.003823281,0.019187316,-0.050212092,1
0.70308608,0.31406786,0.43977403,-0.00459722,-0.15669611,0.060405191,1
0.6182581,0.40950272,0.4812985,-0.042681542,-0.15263343,0.20315388,1
0.6220655,0.41986657,0.46862799,-0.041556713,-0.11325798,0.1566043,1
0.62745102,0.41503721,0.46423103,-0.035457677,-0.091001714,0.11779396,1
0.62532313,0.41648854,0.46494774,-0.030919137,-0.074625079,0.094283835,1
0.62577398,0.4168573,0.46439573,-0.028201987,-0.072296089,0.084889322,1
0.89093772,0.11359108,0.33032214,-0.22503946,-0.13315886,-0.59416576,1
0.87653997,0.12558056,0.32520586,-0.14933808,-0.10757556,-0.28657183,1
0.87482213,0.14006721,0.32441057,-0.079366112,-0.094869929,-0.040538466,1
0.8764618,0.1392361,0.32357956,-0.037824733,-0.07652653,0.074576303,1
0.87645385,0.13843401,0.3233988,-0.0210748,-0.072633665,0.11579647,1
0.87538094,0.14222283,0.32351271,-0.01749462,-0.073362144,0.12893616,1
0.87579788,0.14258451,0.32194771,-0.020494785,-0.069807644,0.1068855,1
0.87599536,0.14162959,0.3204761,-0.024644144,-0.070023979,0.092631918,1
0.87478155,0.14485798,0.32053935,-0.02633867,-0.074526058,0.092148536,1
0.87474639,0.14560336,0.32038708,-0.028021481,-0.07403317,0.081238251,1
0.8742316,0.14572717,0.32162961,-0.028699232,-0.075571862,0.08489365,1
0.87324201,0.14758583,0.32233576,-0.028006084,-0.07630627,0.092467106,1
0.87410872,0.1456773,0.32087334,-0.028211664,-0.072544173,0.080864612,1
-0.25504375,0.77465873,0.58977655,0.031551954,-0.13199514,0.54327885,3
